Company,Code
자비스,A254120
오션브릿지,A241790
퓨쳐켐,A220100
뉴파워프라즈마,A144960
엘앤케이바이오,A156100
에이치엔티,A176440
핸디소프트,A220180
클리오,A237880
오가닉티코스메틱,A900300
로고스바이오,A238120
세화피앤씨,A252500
인크로스,A216050
에이치엘사이언스,A239610
코스메카코리아,A241710
GRT,A900290
골든센츄리,A900280
인텔리안테크,A189300
에이치시티,A072990
잉글우드랩,A950140
앤디포스,A238090
수산아이앤티,A050960
미투온,A201490
예선테크,A250930
유니테크노,A241690
모비스,A250060
나무기술,A242040
자이글,A234920
헝셩그룹,A900270
에코마케팅,A230360
팍스넷,A038160
엔지스테크널러지,A208860
우리손에프앤지,A073560
아이에이네트웍스,A123010
장원테크,A174880
위니아딤채,A071460
바이오리더스,A142760
피앤씨테크,A237750
로스웰,A900260
녹십자랩셀,A144510
에스티팜,A237690
알엔투테크놀로지,A148250
줌인터넷,A239340
휴온스,A243070
원익IPS,A240810
레이언스,A228850
씨엠에스에듀,A225330
동양파일,A228340
팬젠,A222110
AP위성,A211270
솔트웍스,A230980
큐리언트,A115180
안트로젠,A065660
슈프리마,A236200
아이엠텍,A226350
유니트론텍,A142210
크리스탈신소재,A900250
자안,A221610
에스와이,A109610
코디엠,A224060
와이아이케이,A232140
육일씨엔에쓰,A191410
이에스브이,A223310
휴젤,A145020
한국맥널티,A222980
덱스터,A206560
아진산업,A013310
강스템바이오텍,A217730
메디포럼제약,A047920
메가엠디,A133750
보광산업,A225530
파크시스템스,A140860
에치에프알,A230240
예스티,A122640
코스맥스엔비티,A222040
멕아이씨에스,A058110
엔에스,A217820
미래테크놀로지,A213090
하이즈항공,A221840
캔서롭,A180400
매직마이크로,A127160
케이디켐,A221980
네오오토,A212560
마이크로텍,A227950
케어젠,A214370
아이진,A185490
나무가,A190510
유앤아이,A056090
본느,A226340
연우,A115960
엔케이맥스,A182400
엑시콘,A092870
이엑스티,A226360
뉴지랩,A214870
케이엠제약,A225430
한송네오텍,A226440
패션플랫폼,A225590
넷게임즈,A225570
제너셈,A217190
타이거일렉,A219130
인포마크,A175140
씨아이에스,A222080
해마로푸드서비스,A220630
에이텍티앤,A224110
웹스,A196700
파인텍,A131760
한류AI센터,A222810
심텍,A222800
