Company,Code
한글과컴퓨터,A030520
메이슨캐피탈,A021880
대호피앤씨,A021040
바른테크놀로지,A029480
미래SCI,A028040
에이치엘비,A028300
팜스토리,A027710
삼보판지,A023600
삼목에스폼,A018310
에이스침대,A003800
원익큐브,A014190
리드코프,A012700
유니슨,A018000
아난티,A025980
광진실업,A026910
인터엠,A017250
성우하이텍,A015750
대신정보통신,A020180
서부T&D,A006730
동신건설,A025950
동화기업,A025900
신라에스지,A025870
케이씨피드,A025880
한탑,A002680
한국선재,A025550
대성엘텍,A025440
시노펙스,A025320
PN풍년,A024940
삼천리자전거,A024950
메디앙스,A014100
KBI메탈,A024840
경창산업,A024910
대륙제관,A004780
동원개발,A013120
세원물산,A024830
이화전기,A024810
케이피에프,A024880
KB오토시스,A024120
신원종합개발,A017000
흥구석유,A024060
대한약품,A023910
이화공영,A001840
풍국주정,A023900
한국아트라스비엑스,A023890
대림제지,A017650
대한광통신,A010170
동일철강,A023790
플레이위드,A023770
한국캐피탈,A023760
한일사료,A005860
모베이스전자,A012860
CNH,A023460
국영지앤엠,A006050
유진기업,A023410
제일제강,A023440
보성파워텍,A006910
브이티지엠피,A018290
태광,A023160
영신금속,A007530
신라섬유,A001000
원일특강,A012620
서한,A011370
바른손,A018700
부방,A014470
대명소노시즌,A007720
대양제지,A006580
유니크,A011320
진로발효,A018120
청보산업,A013720
삼보산업,A009620
푸드웰,A005670
푸른저축은행,A007330
피제이전자,A006140
베뉴지,A019010
엠에스씨,A009780
행남사,A008800
대동금속,A020400
광림,A014200
대원산업,A005710
큐캐피탈,A016600
한국가구,A004590
포비스티앤씨,A016670
중앙에너비스,A000440
삼륭물산,A014970
경동제약,A011040
원풍,A008370
네이처셀,A007390
삼일기업공사,A002290
일지테크,A019540
한일화학,A007770
한국알콜,A017890
대주산업,A003310
글로본,A019660
세명전기,A017510
에이티넘인베스트,A021080
대동기어,A008830
피에스텍,A002230
코센,A009730
카스,A016920
하이록코리아,A013030
SBI인베스트먼트,A019550
리더스 기술투자,A019570
엠벤처투자,A019590
모헨즈,A006920
