Company,Code
엔씨소프트,A036570
하이스틸,A071090
DSR제강,A069730
태경케미컬,A006890
한농화성,A011500
현대백화점,A069960
대호에이엘,A069460
대웅제약,A069620
마니커,A027740
S&T홀딩스,A036530
휴켐스,A069260
세종공업,A033530
포스코강판,A058430
삼성출판사,A068290
세이브존I&C,A067830
교보증권,A030610
한샘,A009240
신세계건설,A034300
우신시스템,A017370
LG전자,A066570
한국콜마홀딩스,A024720
S&T모티브,A064960
광주신세계,A037710
일진디스플,A020760
필룩스,A033180
종근당바이오,A063160
신한지주,A055550
코웨이,A021240
세아홀딩스,A058650
LG생활건강,A051900
LG화학,A051910
대우건설,A047040
포스코인터내셔널,A047050
대우조선해양,A042660
두산인프라코어,A042670
진양화학,A051630
동원F&B,A049770
두산중공업,A034020
한국내화,A010040
한세예스24홀딩스,A016450
대성홀딩스,A016710
대원제약,A003220
한국가스공사,A036460
미래아이앤지,A007120
화천기공,A000850
팜스코,A036580
케이티앤지,A033780
한국조선해양,A009540
디씨엠,A024090
AK홀딩스,A006840
대한유화,A006650
백산,A035150
지투알,A035000
체시스,A033250
자화전자,A033240
케이티,A030200
하이트론씨스템즈,A019490
제일기획,A030000
디피씨,A026890
케이씨,A029460
대원화성,A024890
E1,A017940
SK가스,A018670
다우기술,A023590
영보화학,A014440
SKC,A011790
웰바이오텍,A010600
한국주강,A025890
덕양산업,A024900
부산도시가스,A015350
에쓰씨엔지니어링,A023960
인지컨트롤스,A023800
경동인베스트,A012320
에스제이엠홀딩스,A025530
콤텍시스템,A031820
SK하이닉스,A000660
MH에탄올,A023150
국동,A005320
동남합성,A023450
삼성엔지니어링,A028050
신도리코,A029530
예스코홀딩스,A015360
퍼시스,A016800
WISCOM,A024070
동원수산,A030720
미래산업,A025560
KTB투자증권,A030210
HDC,A012630
광전자,A017900
한국단자공업,A025540
디아이,A003160
신성이엔지,A011930
티에이치엔,A019180
한온시스템,A018880
세원정공,A021820
세하,A027970
영풍제지,A006740
유니온,A000910
키다리스튜디오,A020120
한섬,A020000
현대엘리베이터,A017800
환인제약,A016580
계룡건설산업,A013580
서원,A021050
에스원,A012750
태경산업,A015890
신대양제지,A016590
유양디앤유,A011690
남해화학,A025860
동원금속,A018500
성안,A011300
HMM,A011200
경인양행,A012610
풀무원,A017810
서울도시가스,A017390
이구산업,A025820
에넥스,A011090
에이프로젠 KIC,A007460
제이준코스메틱,A025620
한국카본,A017960
KPX케미칼,A025000
지코,A010580
태평양물산,A007980
KC그린홀딩스,A009440
문배철강,A008420
웅진,A016880
오뚜기,A007310
일정실업,A008500
한라,A014790
엘에스일렉트릭,A010120
대양금속,A009190
이화산업,A000760
동원시스템즈,A014820
삼성중공업,A010140
모토닉,A009680
화신,A010690
삼화페인트공업,A000390
경동나비엔,A009450
DB,A012030
삼광글라스,A005090
대림비앤코,A005750
대한해운,A005880
메리츠증권,A008560
휴니드테크놀러지스,A005870
수산중공업,A017550
롯데케미칼,A011170
세아베스틸,A001430
호텔신라,A008770
태경비케이,A014580
화승알앤에이,A013520
신흥,A004080
화승인더스트리,A006060
극동유화,A014530
고려산업,A002140
대현,A016090
케이비아이동국실업,A001620
광명전기,A017040
부산산업,A011390
STX,A011810
고려아연,A010130
청호컴넷,A012600
우리들제약,A004720
무림페이퍼,A009200
현대차증권,A001500
금비,A008870
대동전자,A008110
원림,A005820
서흥,A008490
성문전자,A014910
넥스트사이언스,A003580
일진홀딩스,A015860
대영포장,A014160
영화금속,A012280
신풍제약,A019170
동성제약,A002210
키위미디어그룹,A012170
한올바이오파마,A009420
유니켐,A011330
대창,A012800
국보,A001140
일성건설,A013360
까뮤이앤씨,A013700
보락,A002760
선도전기,A007610
씨아이테크,A004920
광동제약,A009290
갤럭시아에스엠,A011420
남성,A004270
KISCO홀딩스,A001940
태영건설,A009410
한국특수형강,A007280
한솔로지스틱스,A009180
삼양통상,A002170
SK텔레콤,A017670
진양폴리우레탄,A010640
미창석유공업,A003650
삼익THK,A004380
미원상사,A002840
서연,A007860
세우글로벌,A013000
현대모비스,A012330
쎌마테라퓨틱스,A015540
KG케미칼,A001390
대우부품,A009320
현대해상,A001450
현대그린푸드,A005440
한국전력공사,A015760
국도화학,A007690
녹십자,A006280
SIMPAC,A009160
윌비스,A008600
대창단조,A015230
사조산업,A007160
한익스프레스,A014130
사조동아원,A008040
경인전자,A009140
무림P&P,A009580
인디에프,A014990
한솔피엔에스,A010420
디와이,A013570
방림,A003610
큐로,A015590
한솔케미칼,A014680
퍼스텍,A010820
동원산업,A006040
대덕,A008060
한성기업,A003680
이스타코,A015020
태림포장,A011280
아세아제지,A002310
화천기계,A010660
CJ씨푸드,A011150
신화실업,A001770
조일알미늄,A018470
에스엘,A005850
영원무역홀딩스,A009970
더존비즈온,A012510
보령제약,A003850
폴루스바이오팜,A007630
이건산업,A008250
모나리자,A012690
대구백화점,A006370
우성사료,A006980
유성기업,A002920
한일철강,A002220
삼익악기,A002450
화성산업,A002460
디티알오토모티브,A007340
보해양조,A000890
상상인증권,A001290
혜인,A003010
금강공업,A014280
엔케이물산,A009810
율촌화학,A008730
신원,A009270
동방,A004140
한국쉘석유,A002960
부광약품,A003000
풍산홀딩스,A005810
부국증권,A001270
계양전기,A012200
한솔테크닉스,A004710
동성화학,A005190
DB금융투자,A016610
한미사이언스,A008930
삼진제약,A005500
포스코,A005490
범양건영,A002410
파미셀,A005690
동국제강,A001230
대원전선,A006340
이수화학,A005950
삼성증권,A016360
삼영무역,A002810
한양증권,A001750
금호석유화학,A011780
유안타증권,A003470
제일파마홀딩스,A002620
에이엔피,A015260
한창제지,A009460
넥센,A005720
삼성공조,A006660
세방전지,A004490
진원생명과학,A011000
참엔지니어링,A009310
한국프랜지공업,A010100
코스모신소재,A005070
덕성,A004830
신영증권,A001720
유진증권,A001200
유화증권,A003460
한신기계공업,A011700
코스모화학,A005420
가온전선,A000500
S-Oil,A010950
한화에어로스페이스,A012450
삼화전자공업,A011230
현대제철,A004020
써니전자,A004770
현대비앤지스틸,A004560
사조오양,A006090
한화투자증권,A003530
삼화전기,A009470
SK증권,A001510
평화홀딩스,A010770
일신석재,A007110
KG동부제철,A016380
아이에스동서,A010780
SH에너지화학,A002360
대한화섬,A003830
코리아써키트,A007810
신세계,A004170
OCI,A010060
삼일제약,A000520
인스코비,A006490
일성신약,A003120
현대건설,A000720
TCC스틸,A002710
에이프로젠제약,A003060
F&F,A007700
아남전자,A008700
현대미포조선,A010620
GS건설,A006360
삼아알미늄,A006110
한국전자홀딩스,A006200
삼성SDI,A006400
삼성전기,A009150
고려개발,A004200
동부건설,A005960
케이씨티시,A009070
코오롱글로벌,A003070
빙그레,A005180
녹십자홀딩스,A005250
신한,A005450
조선내화,A000480
현대약품,A004310
남양유업,A003920
남선알미늄,A008350
한국화장품제조,A003350
삼호,A001880
현대종합상사,A011760
LS,A006260
SK네트웍스,A001740
경농,A002100
티웨이홀딩스,A004870
동방아그로,A007590
송원산업,A004430
진흥기업,A002780
한국석유공업,A004090
천일고속,A000650
대원강업,A000430
만호제강,A001080
조광피혁,A004700
세방,A004360
동양철관,A008970
대유에이텍,A002880
남광토건,A001260
삼영전자공업,A005680
신영와코루,A005800
오리엔트바이오,A002630
조비,A001550
한국공항,A005430
조광페인트,A004910
삼천리,A004690
성보화학,A003080
조흥,A002600
금양,A001570
사조대림,A003960
남영비비안,A002070
S&T중공업,A003570
한신공영,A004960
농심,A004370
삼영화학공업,A003720
성신양회,A004980
신라교역,A004970
신풍제지,A002870
종근당홀딩스,A001630
크라운해태홀딩스,A005740
한독,A002390
SG충방,A001380
SK디스커버리,A006120
샘표,A007540
흥아해운,A003280
GS글로벌,A001250
금호산업,A002990
삼부토건,A001470
삼화콘덴서공업,A001820
페이퍼코리아,A001020
동양,A001520
한화,A000880
JW중외제약,A001060
영풍,A000670
백광산업,A001340
성창기업지주,A000180
한창,A005110
삼화왕관,A004450
KR모터스,A000040
고려제강,A002240
태양금속공업,A004100
선창산업,A002820
DRB동일,A004840
넥센타이어,A002350
SG세계물산,A004060
롯데정밀화학,A004000
동화약품,A000020
대림산업,A000210
LG상사,A001120
국제약품,A002720
태광산업,A003240
부산주공,A005030
한일현대시멘트,A006390
CS홀딩스,A000590
신성통상,A005390
DB하이텍,A000990
대림통상,A006570
유유제약,A000220
강남제비스코,A000860
대신증권,A003540
NH투자증권,A005940
미래에셋대우,A006800
신일전자,A002700
삼성제약,A001360
삼성화재해상보험,A000810
삼양식품,A003230
한화손해보험,A000370
NI스틸,A008260
일동홀딩스,A000230
대동공업,A000490
오리온홀딩스,A001800
깨끗한나라,A004540
태원물산,A001420
코오롱,A002020
삼성전자,A005930
대유플러스,A000300
BYC,A001460
쌍용자동차,A003620
쌍용양회공업,A003410
SPC삼립,A005610
흥국화재,A000540
우리종금,A010050
일양약품,A007570
한진,A002320
한국수출포장공업,A002200
현대자동차,A005380
모나미,A005360
한화솔루션,A009830
아세아,A002030
카프로,A006380
롯데지주,A004990
대한방직,A001070
서울식품공업,A004410
아이에이치큐,A003560
LS네트웍스,A000680
금호전기,A001210
하이트진로홀딩스,A000140
노루홀딩스,A000320
기아자동차,A000270
효성,A004800
CJ,A001040
두산,A000150
휴스틸,A005010
DB손해보험,A005830
대웅,A003090
동양물산기업,A002900
진양산업,A003780
영진약품,A003520
케이씨씨,A002380
롯데칠성음료,A005300
일신방직,A003200
롯데푸드,A002270
아모레퍼시픽그룹,A002790
제주은행,A006220
한솔홀딩스,A004150
벽산,A007210
한국제지,A002300
롯데손해보험,A000400
대한제분,A001130
대상,A001680
LG,A003550
동아쏘시오홀딩스,A000640
코리안리,A003690
한국주철관공업,A000970
한일홀딩스,A003300
엔피씨,A004250
세아제강지주,A003030
대한전선,A001440
대한제당,A001790
삼양홀딩스,A000070
세기상사,A002420
한국테크놀로지그룹,A000240
전방,A000950
대한항공,A003490
디아이동일,A001530
유한양행,A000100
CJ대한통운,A000120
메리츠화재,A000060
경방,A000050
유수홀딩스,A000700
한진중공업홀딩스,A003480
